place_id,google_name,address,google_rating,review_count,latitude,longitude,types,search_postcode
ChIJ41mFEtW_Q6kRAW8MojsotYM,Xpert Tax Accountants,"Unit 2, 30-32 Knowsley St, Cheetham Hill, Manchester M8 8HQ, UK",4.7,12,53.49419109999999,-2.2425854,"accounting, establishment, finance, point_of_interest",M8 8BW
ChIJibg1r7cHe0gRHAHJz7OwZO0,Linx Accounting Services Limited,"474 Cheetham Hill Rd, Manchester M8 9JW, UK",5.0,10,53.5105456,-2.2438327,"accounting, establishment, finance, point_of_interest",M8 8BW
ChIJG-XLIX-xe0gRULbcz45lH9I,Account-i,"86 Bury Old Rd, Manchester M8 5BW, UK",5.0,60,53.5143654,-2.2465706,"accounting, establishment, finance, point_of_interest",M8 8BW
ChIJW15vkOqxe0gReWIfYjBiWBA,Taylor Evans Accountancy,"3 Hornbeam Way, Cheetham Hill, Manchester M4 4AU, UK",5.0,56,53.49052340000001,-2.2395964,"accounting, establishment, finance, point_of_interest",M8 8BW
ChIJIXKAnI-xe0gR3tSRkX1ssoI,ACCOUNTANTS & MANAGEMENT CONSULTANTS,"6 Frome Dr, Manchester M8 0GA, UK",5.0,13,53.5072678,-2.2300433,"accounting, establishment, finance, point_of_interest",M8 8BW
ChIJSyxExEqse0gRsRhZUJqdHY4,TWJ Partnership Chartered Accountants,"Twj Partnership Llp, 1a The Moorings, Dane Road Industrial Estate, Sale M33 7BH, UK",5.0,39,53.4296245,-2.3126596,"accounting, establishment, finance, point_of_interest",M3 1HE
ChIJtUfblDiye0gRvuQKOSu_kl0,Moffatts Chartered Accountants,"Suite 1.1, First Floor, Jackson House, Sibson Rd, Sale M33 7RR, UK",4.1,13,53.42374299999999,-2.326208,"accounting, establishment, finance, point_of_interest",M3 1HE
ChIJAXxGFu8He0gRdUR3AjjFgpw,Bloomfield's Accountants,"76 Factory St W, Atherton, Manchester M46 0EF, UK",3.9,11,53.5248572,-2.4971035,"accounting, establishment, finance, point_of_interest",M46 0EF
ChIJA3fCW2O2e0gRmhQWogNhAFI,Bright Ideas Accountancy,"80 Ashton Rd, Denton, Manchester M34 3JF, UK",5.0,110,53.4590941,-2.1150648,"accounting, establishment, finance, point_of_interest",M34 3JE
ChIJ-f-PHZaoe0gRno5BHK5jGTA,Champion Contractors,"1, Worsley Court, 2 High St, Walkden, Worsley, Manchester M28 3NJ, UK",2.7,16,53.5240983,-2.399925,"accounting, establishment, finance, point_of_interest",M28 3NJ
ChIJBYAYa9Kxe0gRZypU2amdN4E,ICM Accountancy,"2nd Floor, 296 Bury New Rd, Salford, Manchester M7 2YJ, UK",5.0,41,53.5019336,-2.2574927,"accounting, establishment, finance, point_of_interest",M8 8EL
ChIJjXtRHZuse0gRGOn5nIxvrjE,PayStream,"Mansion House, Manchester Rd, Altrincham WA14 4RW, UK",4.6,1309,53.3978567,-2.3530432,"accounting, establishment, finance, point_of_interest",WA14 4RW
ChIJY53V35Cse0gR3ma14yQFNtg,Moore Accountancy Limited,"1 Northway, Altrincham WA14 1NN, UK",4.9,24,53.39586019999999,-2.3466891,"accounting, establishment, finance, point_of_interest",WA14 4RW
ChIJiwUJ4qxSekgRLX1bVbKjMUE,Alexander Knight & Co Accountants,"Westgate House, Hale Rd, Hale, Altrincham WA14 2EX, UK",5.0,23,53.381439,-2.348037,"accounting, establishment, finance, point_of_interest",WA14 4RW
ChIJW1tOR7Cse0gRylMg6RW69jw,Krystal Clear Accounting,"Ground Floor, Westgate House, 44 Hale Rd, Hale, Altrincham WA14 2EX, UK",4.9,108,53.3814392,-2.3480369,"accounting, establishment, finance, point_of_interest",WA14 4RW
ChIJmTJAV--te0gRJ86F412M2Hs,S J Sheldon Limited,"Burley House, Caspian Rd, Broadheath, Altrincham WA14 5HH, UK",5.0,25,53.3954601,-2.3727008,"accounting, establishment, finance, point_of_interest",WA14 4RW
ChIJEQbaXJyse0gRRLZfZl_K4cI,Scullard Chartered Accountants,"201 Manchester Rd, Altrincham WA14 5NU, UK",5.0,16,53.40116159999999,-2.3526932,"accounting, establishment, finance, point_of_interest",WA14 4RW
ChIJI79Lu7qse0gRroalgX0-Jqk,Xeinadin,"10 Ambassador Place, Stockport Rd, Altrincham WA15 8DB, UK",5.0,13,53.3910036,-2.3443923,"accounting, establishment, finance, point_of_interest",WA14 1NU
ChIJYXaZq_qse0gRfTH4LozNJHw,Longmires Business Accountants,"Suite 2C, Marsland House, Marsland Rd, Sale M33 3AQ, UK",5.0,10,53.4177637,-2.3245631,"accounting, establishment, finance, point_of_interest",WA14 1NU
ChIJBZNx4Jyse0gRfnH4hlfFKjA,TaxAssist Accountants,"35 Stamford New Rd, Altrincham WA14 1EB, UK",4.8,71,53.3861275,-2.3498382,"accounting, establishment, finance, point_of_interest",WA14 1NU
ChIJUxD5QACte0gRTMdXX3LeoCs,Heath Hill Green Ltd,"Atlantic Business Centre, Atlantic St, Broadheath, Altrincham WA14 5NQ, UK",4.8,56,53.3980664,-2.3591518,"accounting, establishment, finance, point_of_interest",WA14 1NU
ChIJJX4mg8mte0gRxhstkQL9flA,Oakdene Accountancy,"70 Marsland Rd, Sale M33 3HG, UK",5.0,35,53.4182565,-2.3084713,"accounting, establishment, finance, point_of_interest",WA14 1NU
ChIJUa3Epduze0gRYd111uR1Quc,Cna & Co Chartered Certified Accountants,"810 Stockport Rd, Levenshulme, Manchester M12 4QL, UK",4.8,32,53.4491844,-2.1924689,"accounting, establishment, finance, point_of_interest",M19 2WP
ChIJC58ymOqxe0gRteMFJMVFPP8,CKW Chartered Certified Accountants,"469 Kingsway, Manchester M19 1NR, UK",5.0,32,53.4211044,-2.2128972,"accounting, establishment, finance, point_of_interest",M19 2WP
ChIJiW4819Kte0gRyaQaWfNs5xg,Premier Accounts & Consultancy Ltd,"76 Gloucester Rd, Urmston, Manchester M41 9AE, UK",4.4,14,53.4471442,-2.3522448,"accounting, establishment, finance, point_of_interest",M41 0XL
ChIJ0ebongSse0gRduYh8NMLdq4,TaxAssist Accountants,"3 Victoria Parade, Urmston, Manchester M41 9BP, UK",4.5,21,53.4478437,-2.3517104,"accounting, establishment, finance, point_of_interest",M41 0XL
ChIJ3YjxWqsCXaIRhg_g328FoD8,Accountants247 Urmston,"144 Suite 6, Third, Floor 144, Grampian House, 144 Deansgate, Manchester M3 3EE, UK",5.0,10,53.4805535,-2.2485336,"accounting, establishment, finance, point_of_interest",M41 0XL
ChIJ0cuvVdSze0gRav3_gS_Hy20,Eazy Accounting (chartered accountant & tax advisors),"First Floor Office 2, Nelrose, Princess Rd, Didsbury, Manchester M20 2LT, UK",5.0,16,53.4291558,-2.2525617,"accounting, establishment, finance, point_of_interest",M20 2LT
