name,company_number,address_line1,locality,postcode,sic_codes,search_city,search_sic,latitude,longitude
A J ACCOUNTING SERVICES LIMITED,09298710,198 Liverpool Road,Manchester,M44 5DB,69201,Manchester,69201,53.423731,-2.439487
KNOX ACCOUNTANTS LIMITED,09582896,413 Barlow Moor Road,Manchester,M21 7FZ,69201,Manchester,69201,53.433175,-2.271746
SAM & CO ACCOUNTANTS MCR LTD,11511002,10 Pennington Street,Manchester,M12 4QJ,"69201, 69202, 69203",Manchester,69201,53.449174,-2.193293
ACORN CORPORATE SOLUTIONS LTD,14529714,Acorn Business Centre,Manchester,M12 6AE,"68209, 69201, 82110",Manchester,69201,53.47621,-2.219903
I MATHER AND CO LTD,10459642,"Unit 154, 19 Lever Street I Mather And Co Ltd",Manchester,M1 1AN,69201,Manchester,69201,53.481943,-2.235152
CAROLINE BOARDMAN CONSULTING LIMITED,11554381,Office 7 The Old Police House,Urmston,M41 9JQ,69201,Manchester,69201,53.446822,-2.353031
CADISHEAD ACCOUNTANCY SERVICES LIMITED,04332699,Britannic House,Manchester,M44 5XD,"69201, 69202",Manchester,69201,53.432962,-2.432297
H ACCOUNTANCY GROUP LTD,13737009,Clemency Business Centre,Manchester,M40 0JB,69201,Manchester,69201,53.523895,-2.169831
SMART LEGAL COSTS SOLUTIONS LTD,10998838,Unit 12 First Floor Atrium House,Bury,BL9 9SW,"69109, 69201",Manchester,69201,53.570614,-2.295321
AWH SOLUTIONS LIMITED,12485744,2 Trust Road,Manchester,M18 7PJ,69201,Manchester,69201,53.454682,-2.177491
CSAC LIMITED,08690522,86 Ravenscar Crescent,Wythenshawe,M22 0JA,"69201, 82110",Manchester,69201,53.367838,-2.258975
M.BOHEME LIMITED,11264453,Mansion House,Altrincham,WA14 4RW,69201,Manchester,69201,53.397888,-2.353017
ECLECTIC FINANCIALS LIMITED,15968142,Piccadilly Business Centre Unit C Aldow Enterprise Park,Manchester,M12 6AE,"69201, 69202, 69203, 78300",Manchester,69201,53.47621,-2.219903
SEDULO BIRMINGHAM LIMITED,15510602,62-66 Deansgate,Manchester,M3 2EN,69201,Manchester,69201,53.483016,-2.246821
E M ACCOUNTANCY LIMITED,11057729,"E M Accountancy Ltd Office 4, Trafalgar House",Altrincham,WA14 1NU,69201,Manchester,69201,53.396816,-2.350918
MONTON GREEN ACCOUNTANCY LTD,10730599,5 Hawthorn Avenue,Manchester,M30 9NE,"69201, 69202",Manchester,69201,53.491437,-2.348352
ACCOUNTING SERVICES (NEW FOREST) LIMITED,04834196,Braemar Manchester Road,Lymington,SO41 6AP,69201,Manchester,69201,50.788662,-1.60316
SEDULO GROUP LIMITED,06878216,62 -66 Deansgate,Manchester,M3 2EN,69201,Manchester,69201,53.483016,-2.246821
BMG ACCOUNTANCY LIMITED,05955050,318a Palatine Road,Manchester,M22 4FW,"69201, 69202, 69203",Manchester,69201,53.410035,-2.25663
BON TRESOR CONSULTING LIMITED,09847956,23 Athletes Way,Manchester,M11 3NE,"69201, 70229",Manchester,69201,53.477796,-2.207571
SEDULO LONDON LIMITED,11009183,62 - 66 Deansgate,Manchester,M3 2EN,69201,Manchester,69201,53.483016,-2.246821
NABAILE YOUNG UK LTD,07058673,334 Slade Lane,Manchester,M19 2BL,69201,Manchester,69201,53.442692,-2.199587
PA ACCOUNTANCY LIMITED,08730267,3 Stobart Avenue,Manchester,M25 0AJ,69201,Manchester,69201,53.522617,-2.272693
CAM ACCOUNTING LIMITED,07619633,548 Burnage Lane,Manchester,M19 1LA,"69201, 69202, 69203",Manchester,69201,53.423535,-2.2066
ABACUS ACCOUNTING AND MANAGEMENT SOLUTIONS LTD,08150885,86 North Street,Manchester,M8 8RA,69201,Manchester,69201,53.494615,-2.235629
CORBAR ACCOUNTING LTD,15725267,Moss House Farm,Buxton,SK17 6SS,69201,Manchester,69201,53.266762,-1.932776
INTEGRA CONSULTANCY LIMITED,09684221,43 Manchester Street,London,W1U 7LP,"69201, 69203",Manchester,69201,51.518702,-0.154262
SIMPLE ACCOUNTING (NW) LIMITED,07340084,"Office 10, Swan Buildings",Manchester,M4 5JW,"69201, 69202",Manchester,69201,53.485461,-2.233302
EL ROI ACCOUNTING SERVICES LTD,12784270,17 Tong Head Avenue,Bolton,BL1 8SZ,69201,Manchester,69201,53.60153,-2.414901
SEDULO CONSULTANCY LIMITED,11458808,62-66 Deansgate,Manchester,M3 2EN,"69201, 69203",Manchester,69201,53.483016,-2.246821
C M EDWARDS LTD,10496412,Apartment 7.33 6 Leftbank,Manchester,M3 3AE,69201,Manchester,69201,53.480987,-2.253982
YELLIT LIMITED,10865401,5 Uplands,Manchester,M24 1EA,69201,Manchester,69201,53.542073,-2.196387
OMID & CO LTD,09666164,Suite 48 Flexspace Manchester Road,Bolton,BL3 2NZ,69201,Manchester,69201,53.563524,-2.410527
G A HARRIS & CO LIMITED,04478782,Brulimar House Jubilee Road,Manchester,M24 2LX,69201,Manchester,69201,53.55452,-2.186256
MUJAHID & CO ACCOUNTANTS LTD,14195612,Victoria House 37 Anson Road,Manchester,M14 5DA,"69201, 69202, 69203",Manchester,69201,53.455575,-2.213833
