place_id,name,address,country,suburb,city,rating,reviews,longitude,latitude,postcode,outward_code,flag_hospitality,flag_construction,flag_healthcare,flag_media,flag_professional_services,flag_real_estate,place_id,Badge,claimed,specialisms,fees,client_type,focus_area,client_portal,accreditations,submitted_entry,firm_slug,city_slug,specalist_segments,bio,website
ChIJWzDm1gbHh0gRuWkMtCoGAn8,Tax Over Coffee Accountants,"Westpoint, 4 Redheughs Rigg, South Gyle, Edinburgh EH12 9DQ, UK",GB,South Gyle,Edinburgh,5,102,-3.30902,55.93464,EH12 9DQ,EH12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69dddec617601786fa360453_edinburgh.png,,,,,,,,,,,,,
ChIJndd1ShXFh0gR16zZ6hJD7wY,MSG Accountancy,"Westpoint, 4 Redheughs Rigg, South Gyle, Edinburgh EH12 9DQ, UK",GB,South Gyle,Edinburgh,5,27,-3.30902,55.93464,EH12 9DQ,EH12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69dddec617601786fa360453_edinburgh.png,,,,,,,,,,,,,
ChIJu6GKcRp_lYIRkm2XSsw0L08,LAS Accounting Ltd,"7 Auburn Locks, Edinburgh, Musselburgh EH21 8FE, UK",GB,Musselburgh,Edinburgh,5,22,-3.01771,55.93078,EH21 8FE,EH21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69dde0b7c73cf8ece641393c_musselburgh.png,,,,,,,,,,,,,
ChIJQfzvJmO5h0gRWQyk5O1XJR4,Martin Cook Accounting Services Ltd,"19 Monktonhall Pl, Musselburgh EH21 6RR, UK",GB,Musselburgh,Edinburgh,5,26,-3.06214,55.93048,EH21 6RR,EH21,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69dde0b7c73cf8ece641393c_musselburgh.png,,,,,,,,,,,,,
ChIJs2dRibhDiEgRdVEgAirjerA,Competence Matters Ltd,"Westfield Park, 56 Deerdykes View, Westfield, Cumbernauld, Glasgow G68 9HN, UK",GB,Cumbernauld,Glasgow,4.7,16,-4.05094,55.92713,G68 9HN,G68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJM44EL8RPiEgRF8Uq5c25Nbk,B-Able Business Services Ltd,"11 Alexander St, Clydebank G81 1SQ, UK",GB,Clydebank,Glasgow,4.9,73,-4.40513,55.90048,G81 1SQ,G81,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69ddde368b4a723a3da38ed8_clydebank.png,,,,,,,,,,,,,
ChIJGbQ3EZPFh0gRjgXrSP5w_5A,Herd Accountancy,"45 Forth View Cres, Currie EH14 5QX, UK",GB,Currie,Edinburgh,4.9,48,-3.3166,55.89708,EH14 5QX,EH14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69ddde73fbf6455f02051971_currie.png,,,,,,,,,,,,,
ChIJz5oz1JFGiEgRTEVK_f4D6RM,Dylan Associates,"780 Crow Rd, Jordanhill, Glasgow G13 1LX, UK",GB,Jordanhill,Glasgow,5,11,-4.32495,55.88898,G13 1LX,G13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJAQAwZbi-h0gRgV22_MqbDs4,Melbarry Accountants,"30/5, Hardengreen Industrial Estate, Eskbank, Dalkeith EH22 3NX, UK",GB,Eskbank,Edinburgh,4,12,-3.08186,55.88282,EH22 3NX,EH22,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69ddde7fa3b70936998ca876_dalkeith.png,,,,,,,,,,,,,
ChIJ5aqEYstFiEgR5sMwFSP04W0,Scotsman Group,"70 Hamilton Dr, Glasgow G12 8DR, UK",GB,,Glasgow,4,14,-4.28656,55.87843,G12 8DR,G12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJc9KAEM9FiEgRCpqmBbRximY,Brett Nicholls Associates,"Herbert House, 24 Herbert St, Glasgow G20 6NB, UK",GB,,Glasgow,5,10,-4.27497,55.87507,G20 6NB,G20,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,
ChIJsS6HMCoIkkgRnF12p5YgaDc,Nicolson Accountancy,"31 Lynedoch St, Glasgow G3 6EF, UK",GB,,Glasgow,3.9,15,-4.2759,55.86814,G3 6EF,G3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
ChIJWRg9YBq5h0gRvAzaDwg7NfY,McKenzie Accountancy,"Pentlandfield, Midlothian Innovation Centre, Roslin EH25 9RE, UK",GB,Roslin,Edinburgh,5,10,-3.19486,55.86789,EH25 9RE,EH25,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69def3c9e01de6b2133bc058_roslin.png,,,,,,,,,,,,,
ChIJwUZIz55GiEgRLNx4AOoqzNc,Callan Accountancy,"21, 23 Woodside Pl, Glasgow G3 7QL, UK",GB,,Glasgow,4.5,83,-4.27523,55.86692,G3 7QL,G3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
ChIJu2qo2e0TiEgR7bDJUdnLUxA,Hawthorn Tax,"4 Newton Pl, Glasgow G3 7PR, UK",GB,,Glasgow,5,46,-4.27567,55.86641,G3 7PR,G3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69def2705359b17543ce8515_glasgow.png,,,,,,,,,,,,,
ChIJ-8KL5ytEiEgRbby2B4a7QBQ,ammu chartered accountants glasgow,"10 Newton Terrace, Charing Cross Ln, Glasgow G3 7PJ, UK",GB,,Glasgow,5,21,-4.27478,55.86597,G3 7PJ,G3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69def2705359b17543ce8515_glasgow.png,,,,,,,,,,,,,
ChIJjyuCcVxFiEgRwF1u9L8C3A8,Blyth Accountants,"272 Bath St, Glasgow G2 4JR, UK",GB,,Glasgow,5,11,-4.26872,55.86548,G2 4JR,G2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
